Time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,T_ref_in,T_ref_out,T_cool_out,z_tpsh,gamma,eps_tp,eps_sh,fval,ef
0,150,262.264757960813,0.02,0.02,212.637967506008,0.175000000000005,-6.5,-20.1493713163072,-20.1591231381333,-6.5,1,0.49569099024621,0.456796947075527,-1.25382378245959,7.02561413066295e-09,2
2,154.442063094472,329.73161172715,0.02,0.02,214.201501981668,0.350087843070338,-6.50000000006782,-19.4249840951588,-19.4344063390399,-7.13078519353431,1,0.498538435192231,0.261157182954675,0.0804343272859309,9.77420502737931e-06,0
4,159.476425570756,351.501596021977,0.02,0.02,214.863281807401,0.350056474998902,-6.50000000011921,-18.6193311382898,-18.0129672681611,-7.61122162580754,0.929669302606108,0.495365990573591,0.213700971321426,0.0761690922413155,7.90421800023566e-08,2
6,160.278444466043,351.521292752447,0.02,0.02,214.895058871126,0.3500430635835,-6.5000000001533,-18.4938423828717,-17.9646978481094,-7.92999812008868,0.935949303151703,0.495254839745348,0.203851618898762,0.0754387154437276,6.11802491117995e-11,2
8,160.20531803945,351.503918238778,0.02,0.02,214.891826628049,0.350033265677574,-6.50000000017975,-18.5052841876682,-17.9873383421082,-8.17729553281337,0.936935471060309,0.494220147954202,0.203868385563152,0.0749117524252506,2.49638174218252e-13,2
10,160.148163947702,351.490687147703,0.02,0.02,214.889307272665,0.350025664306014,-6.50000000020035,-18.5142268639482,-18.0046218787969,-8.36947004281822,0.937703252568235,0.494537772811862,0.203901243443918,0.0745203077419308,6.65478614843323e-13,2
12,160.104771474644,351.480759611504,0.02,0.02,214.887396656948,0.350019896397684,-6.50000000021598,-18.5210163138013,-18.0176032197122,-8.515473542788,0.938279048153445,0.494583211119616,0.203925641486304,0.0742222894643938,2.63997586772749e-12,2
14,160.071793938004,351.473202323167,0.02,0.02,214.88594411609,0.350015500458571,-6.50000000022787,-18.5261761794532,-18.0274819205305,-8.62684221699655,0.938717288232288,0.495173545942406,0.203886928002359,0.0739582350201379,1.98803078782948e-13,2
16,160.042619020454,351.466510440954,0.02,0.02,214.884658823897,0.350011605441992,-6.50000000023841,-18.5307410642291,-18.0362278099716,-8.72556529795619,0.939105305134186,0.495044673154848,0.203931473949604,0.0737750387732436,3.1443168811681e-13,2
18,160.022453128328,351.461870795399,0.02,0.02,214.883769990502,0.3500089063443,-6.50000000024577,-18.5338963421761,-18.0422888064866,-8.79402515823566,0.939374053215066,0.49513772043095,0.203928664631801,0.0685951846123432,2.40179496219903e-14,2
20,160.007275382228,351.388023976224,0.0233923873097862,0.0233923873097862,217.319402706942,0.372194556997351,-6.36305203903797,-18.5345405760286,-18.1293880288364,-8.84559465340241,0.939576073983205,0.495008591016292,0.231413470642705,0.0304501541181869,7.14343515637854e-10,2
22,161.033811958414,350.971711866937,0.0248462675854089,0.0248462675854089,218.394608428054,0.413383870754619,-6.30436005558378,-18.3731807586736,-18.3872290921667,-8.84736501306547,0.989281898965292,0.49495311101073,0.210346078403969,0.0311227689040641,1.64557427407776e-09,2
24,161.177880874133,350.999485765578,0.0248462675854089,0.0248462675854089,218.40012502951,0.413391628306335,-6.30436005558394,-18.350638860862,-18.3646871946724,-8.8500116482881,0.988087497484613,0.494031783326214,0.20931596907191,0.0313186505673232,3.7167390176821e-13,2
26,161.206930417428,351.005396938884,0.0248462675854089,0.0248462675854089,218.401241104544,0.413393225877237,-6.30436005558412,-18.3460935928417,-18.3601419267011,-8.85192752714409,0.987813401512116,0.495093812287403,0.209107884602648,0.0313583065314384,3.96878249803604e-10,2
28,161.212786146534,351.006618804648,0.0248462675854089,0.0248462675854089,218.401466487595,0.41339352708275,-6.3043600555842,-18.3451773698934,-18.3592257037602,-8.85336553795259,0.987754787900087,0.494994222238972,0.209050055854848,0.0309062571608513,8.31349054558418e-11,2
30,161.212862161066,351.000260448475,0.0251083639298995,0.0251083639298995,217.853732701251,0.414250642033386,-6.32998229589069,-18.3450056024876,-18.3593736837751,-8.85440441940989,0.98775498998933,0.494495305739089,0.0727669255720784,-0.0900015648237845,2.51147604437492e-10,2
32,149.485985748723,347.740211123139,0.028777712752768,0.028777712752768,209.802533380611,0.439154003343921,-6.68869366017381,-20.2303040522008,-20.2504898253677,-9.0431787175684,1,0.498752010001916,0.210558656290412,-0.0555708418354729,6.27283137807047e-05,0
34,149.30246669117,348.297344964363,0.028777712752768,0.028777712752768,209.802551369094,0.439130737449963,-6.68869366018418,-20.2610621798748,-20.2812479449006,-9.19579128780435,1,0.504669130283919,0.211355679785609,-0.0600298075073104,0.000344737820489384,0
36,149.239189515863,348.23058670448,0.028777712752768,0.028777712752768,209.799917495185,0.439122275158893,-6.68869366019162,-20.2716675483192,-20.2918533128813,-9.30514385547316,1,0.499859790962903,0.211598825645396,-0.0645579328256569,2.44294951038526e-05,0
38,149.20509706173,348.145176407974,0.028777712752768,0.028777712752768,209.797995066431,0.439117709818185,-6.68869366019707,-20.2773815047382,-20.2975672695321,-9.38522246623628,1,0.495393470600001,0.211664287637789,-0.0650301593357747,2.32719503619893e-06,2
40,149.186378195443,348.13186146191,0.0274250646121068,0.0274250646121068,217.473871373378,0.433888751762013,-6.85590169902224,-20.2814377027809,-20.2997857026979,-9.44181910154732,1,0.495673765410017,0.320075754311529,-0.25762649574286,1.30972102708145e-08,2
42,159.764582450471,346.807694640925,0.0269741818985531,0.0269741818985531,220.403866657415,0.425180383756634,-6.91163771197546,-18.5705177928978,-18.5870747746081,-9.45795207121707,1,0.498709119079229,0.216966974863847,-0.441123468797212,5.59209691692124e-05,0
44,159.393915709191,344.140919761411,0.0269741818985531,0.0269741818985531,220.358046583775,0.42517201434492,-6.91163771197461,-18.6285145538888,-18.6450715532866,-9.44575399348766,1,0.49701661045845,0.218992674766963,-0.482000026745261,1.04166524990285e-05,0
46,159.281539519389,343.517429821612,0.0269741818985531,0.0269741818985531,220.346436798945,0.425170579375107,-6.91163771197396,-18.6460976131325,-18.6626546165406,-9.4371479550436,1,0.497614653979935,0.219809912046146,-0.489596891613933,1.60047905973914e-05,0
48,159.262666767492,343.402629107912,0.0269741818985531,0.0269741818985531,220.344364006235,0.425170543539735,-6.91163771197352,-18.6490505581499,-18.6656075623196,-9.43113763126357,1,0.500346840137689,0.219967815005837,-0.491423654655325,4.42185857581334e-05,0
50,159.260240254468,343.37315922327,0.027421814078915,0.027421814078915,217.180680993352,0.425470992940552,-7.08074921833337,-18.6491507778177,-18.6662666765851,-9.42658572609702,1,0.341627230650695,0.110317200891195,-0.476783159579475,0.0056210430080581,0
