Time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,T_ref_in,T_ref_out,T_cool_out,z_tpsh,gamma,eps_tp,eps_sh,fval,ef,,
0,150,262.264758,0.02,0.02,212.6379675,0.175,-6.5,-20.14937132,-20.15912314,-6.5,1,0.49569099,0.456796947,-1.253823782,7.03E-09,2,,0.99253581
2,154.4420631,329.7316117,0.02,0.02,214.201502,0.350087843,-6.5,-19.4249841,-19.43440634,-7.130785194,1,0.498538435,0.261157183,0.080434327,9.77E-06,0,,
4,159.4764256,351.501596,0.02,0.02,214.8632818,0.350056475,-6.5,-18.61933114,-18.01296727,-7.611221626,0.929669303,0.495365991,0.213700971,0.076169092,7.90E-08,2,,
6,160.2784445,351.5212928,0.02,0.02,214.8950589,0.350043064,-6.5,-18.49384238,-17.96469785,-7.92999812,0.935949303,0.49525484,0.203851619,0.075438715,6.12E-11,2,,
8,160.205318,351.5039182,0.02,0.02,214.8918266,0.350033266,-6.5,-18.50528419,-17.98733834,-8.177295533,0.936935471,0.494220148,0.203868386,0.074911752,2.50E-13,2,,
10,160.1481639,351.4906871,0.02,0.02,214.8893073,0.350025664,-6.5,-18.51422686,-18.00462188,-8.369470043,0.937703253,0.494537773,0.203901243,0.074520308,6.65E-13,2,,
12,160.1047715,351.4807596,0.02,0.02,214.8873967,0.350019896,-6.5,-18.52101631,-18.01760322,-8.515473543,0.938279048,0.494583211,0.203925641,0.074222289,2.64E-12,2,,
14,160.0717939,351.4732023,0.02,0.02,214.8859441,0.3500155,-6.5,-18.52617618,-18.02748192,-8.626842217,0.938717288,0.495173546,0.203886928,0.073958235,1.99E-13,2,,
16,160.042619,351.4665104,0.02,0.02,214.8846588,0.350011605,-6.5,-18.53074106,-18.03622781,-8.725565298,0.939105305,0.495044673,0.203931474,0.073775039,3.14E-13,2,,
18,160.0224531,351.4618708,0.02,0.02,214.88377,0.350008906,-6.5,-18.53389634,-18.04228881,-8.794025158,0.939374053,0.49513772,0.203928665,0.068595185,2.40E-14,2,,
20,160.0072754,351.388024,0.023392387,0.023392387,217.3194027,0.372194557,-6.363052039,-18.53454058,-18.12938803,-8.845594653,0.939576074,0.495008591,0.231413471,0.030450154,7.14E-10,2,,
22,161.033812,350.9717119,0.024846268,0.024846268,218.3946084,0.413383871,-6.304360056,-18.37318076,-18.38722909,-8.847365013,0.989281899,0.494953111,0.210346078,0.031122769,1.65E-09,2,,
24,161.1778809,350.9994858,0.024846268,0.024846268,218.400125,0.413391628,-6.304360056,-18.35063886,-18.36468719,-8.850011648,0.988087497,0.494031783,0.209315969,0.031318651,3.72E-13,2,,
26,161.2069304,351.0053969,0.024846268,0.024846268,218.4012411,0.413393226,-6.304360056,-18.34609359,-18.36014193,-8.851927527,0.987813402,0.495093812,0.209107885,0.031358307,3.97E-10,2,,
28,161.2127861,351.0066188,0.024846268,0.024846268,218.4014665,0.413393527,-6.304360056,-18.34517737,-18.3592257,-8.853365538,0.987754788,0.494994222,0.209050056,0.030906257,8.31E-11,2,,
30,161.2128622,351.0002604,0.025108364,0.025108364,217.8537327,0.414250642,-6.329982296,-18.3450056,-18.35937368,-8.854404419,0.98775499,0.494495306,0.072766926,-0.090001565,2.51E-10,2,,
32,149.4859857,347.7402111,0.028777713,0.028777713,209.8025334,0.439154003,-6.68869366,-20.23030405,-20.25048983,-9.043178718,1,0.49875201,0.210558656,-0.055570842,6.27E-05,0,,
34,149.3024667,348.297345,0.028777713,0.028777713,209.8025514,0.439130737,-6.68869366,-20.26106218,-20.28124794,-9.195791288,1,0.50466913,0.21135568,-0.060029808,0.000344738,0,,
36,149.2391895,348.2305867,0.028777713,0.028777713,209.7999175,0.439122275,-6.68869366,-20.27166755,-20.29185331,-9.305143855,1,0.499859791,0.211598826,-0.064557933,2.44E-05,0,,
38,149.2050971,348.1451764,0.028777713,0.028777713,209.7979951,0.43911771,-6.68869366,-20.2773815,-20.29756727,-9.385222466,1,0.495393471,0.211664288,-0.065030159,2.33E-06,2,,
40,149.1863782,348.1318615,0.027425065,0.027425065,217.4738714,0.433888752,-6.855901699,-20.2814377,-20.2997857,-9.441819102,1,0.495673765,0.320075754,-0.257626496,1.31E-08,2,,
42,159.7645825,346.8076946,0.026974182,0.026974182,220.4038667,0.425180384,-6.911637712,-18.57051779,-18.58707477,-9.457952071,1,0.498709119,0.216966975,-0.441123469,5.59E-05,0,,
44,159.3939157,344.1409198,0.026974182,0.026974182,220.3580466,0.425172014,-6.911637712,-18.62851455,-18.64507155,-9.445753993,1,0.49701661,0.218992675,-0.482000027,1.04E-05,0,,
46,159.2815395,343.5174298,0.026974182,0.026974182,220.3464368,0.425170579,-6.911637712,-18.64609761,-18.66265462,-9.437147955,1,0.497614654,0.219809912,-0.489596892,1.60E-05,0,,
48,159.2626668,343.4026291,0.026974182,0.026974182,220.344364,0.425170544,-6.911637712,-18.64905056,-18.66560756,-9.431137631,1,0.50034684,0.219967815,-0.491423655,4.42E-05,0,,
50,159.2602403,343.3731592,0.027421814,0.027421814,217.180681,0.425470993,-7.080749218,-18.64915078,-18.66626668,-9.426585726,1,0.341627231,0.110317201,-0.47678316,0.005621043,0,,
52,151.3275014,342.1383471,0.027906749,0.027906749,213.4867103,0.426460087,-7.26395335,-19.92488052,-19.94322131,-9.563975979,1,0.49549272,0.217701219,-0.450134758,6.65E-07,0,,
54,151.1646959,342.6573907,0.027906749,0.027906749,213.4869711,0.426440176,-7.26395335,-19.95124438,-19.96958516,-9.674397759,1,0.497010559,0.218438499,-0.453111842,7.85E-07,2,,
