pressure,enthalpy
1.506155700683593750e+02,3.422563171386718750e+02
1.502286834716796875e+02,3.429945373535156250e+02
1.456607513427734375e+02,3.355493774414062500e+02
1.475424346923828125e+02,3.376201477050781250e+02
1.474068756103515625e+02,3.373902282714843750e+02
1.475251922607421875e+02,3.372700805664062500e+02
1.459445648193359375e+02,3.355354614257812500e+02
1.394793395996093750e+02,3.200866394042968750e+02
1.400993041992187500e+02,3.212377319335937500e+02
1.406646423339843750e+02,3.217331237792968750e+02
1.411859893798828125e+02,3.217954711914062500e+02
1.469242401123046875e+02,3.255530090332031250e+02
1.461357727050781250e+02,3.326434631347656250e+02
1.471901397705078125e+02,3.317955627441406250e+02
1.474163818359375000e+02,3.317611999511718750e+02
1.469404602050781250e+02,3.316844177246093750e+02
1.600379943847656250e+02,3.392354125976562500e+02
1.590164031982421875e+02,3.472483825683593750e+02
1.597500305175781250e+02,3.481334838867187500e+02
1.603543701171875000e+02,3.491017456054687500e+02
1.594373626708984375e+02,3.486847839355468750e+02
1.591952209472656250e+02,3.474790039062500000e+02
1.562702636718750000e+02,3.322200927734375000e+02
1.574291992187500000e+02,3.347723693847656250e+02
1.577153625488281250e+02,3.341415100097656250e+02
1.577003784179687500e+02,3.333955383300781250e+02
1.572104797363281250e+02,3.328777465820312500e+02
1.585719604492187500e+02,3.344014892578125000e+02
1.564187316894531250e+02,3.321673278808593750e+02
1.568692932128906250e+02,3.320621643066406250e+02
1.569331512451171875e+02,3.319249572753906250e+02
1.573025360107421875e+02,3.322072753906250000e+02
1.584737548828125000e+02,3.337055664062500000e+02
1.573285522460937500e+02,3.327655639648437500e+02
1.572394866943359375e+02,3.327065124511718750e+02
1.572496337890625000e+02,3.326676025390625000e+02
1.466778564453125000e+02,3.309028930664062500e+02
1.491462707519531250e+02,3.290850219726562500e+02
1.482760314941406250e+02,3.292386169433593750e+02
1.476869964599609375e+02,3.291445617675781250e+02
1.479075622558593750e+02,3.289710388183593750e+02
1.515658569335937500e+02,3.302949829101562500e+02
1.588105468750000000e+02,3.360120239257812500e+02
1.559671478271484375e+02,3.347215270996093750e+02
1.556977233886718750e+02,3.349395141601562500e+02
1.556167144775390625e+02,3.348611145019531250e+02
1.559746704101562500e+02,3.344662780761718750e+02
1.618025512695312500e+02,3.369550476074218750e+02
1.590595397949218750e+02,3.360020751953125000e+02
1.588128204345703125e+02,3.359503784179687500e+02
1.589084777832031250e+02,3.359425354003906250e+02
1.598770294189453125e+02,3.367754211425781250e+02
1.615705871582031250e+02,3.395220947265625000e+02
1.605771942138671875e+02,3.387685546875000000e+02
1.606146545410156250e+02,3.389423522949218750e+02
1.606442565917968750e+02,3.390378417968750000e+02
1.605321502685546875e+02,3.389591064453125000e+02
1.609115295410156250e+02,3.383583984375000000e+02
1.592608032226562500e+02,3.370802307128906250e+02
1.591873779296875000e+02,3.368276367187500000e+02
1.592777557373046875e+02,3.366072998046875000e+02
1.589790954589843750e+02,3.358121643066406250e+02
1.550600891113281250e+02,3.302943725585937500e+02
1.575860900878906250e+02,3.327802734375000000e+02
1.575437316894531250e+02,3.324108886718750000e+02
1.574470214843750000e+02,3.321939086914062500e+02
1.574019775390625000e+02,3.322406921386718750e+02
1.603697509765625000e+02,3.371184387207031250e+02
1.585842437744140625e+02,3.353583679199218750e+02
1.592596740722656250e+02,3.356902160644531250e+02
1.592238769531250000e+02,3.358171386718750000e+02
1.602297973632812500e+02,3.382127990722656250e+02
1.631486206054687500e+02,3.506530761718750000e+02
1.618387145996093750e+02,3.501874389648437500e+02
1.608894805908203125e+02,3.501569213867187500e+02
1.613210449218750000e+02,3.503859252929687500e+02
1.549134521484375000e+02,3.500816040039062500e+02
1.562572021484375000e+02,3.505318603515625000e+02
1.562636718750000000e+02,3.508006896972656250e+02
1.563893737792968750e+02,3.513182373046875000e+02
1.566377716064453125e+02,3.515836791992187500e+02
1.670997314453125000e+02,3.525451049804687500e+02
1.608366088867187500e+02,3.522266235351562500e+02
1.609951171875000000e+02,3.516838378906250000e+02
1.608863830566406250e+02,3.514331665039062500e+02
1.607178649902343750e+02,3.512607116699218750e+02
1.608085479736328125e+02,3.512322692871093750e+02
1.596340332031250000e+02,3.495167846679687500e+02
1.602122802734375000e+02,3.508151245117187500e+02
1.604563140869140625e+02,3.510227050781250000e+02
1.603371429443359375e+02,3.510824279785156250e+02
